match_id,datetime,league,home_team_id,home_team_name,home_team_name_short,away_team_id,away_team_name,away_team_name_short,home_team_goals,away_team_goals,home_team_xG,away_team_xG,win_forecast,draw_forecast,loss_forecast
2,2024-10-19 11:30:00,EPL,82,Tottenham,TOT,81,West Ham,WHU,4,1,1.44052,0.858803,0.5079,0.2755,0.2166
2,2024-10-19 14:00:00,EPL,228,Fulham,FLH,71,Aston Villa,AVL,1,3,2.63074,1.43595,0.6895,0.1842,0.1263
2,2024-10-19 14:00:00,EPL,285,Ipswich,IPS,72,Everton,EVE,0,2,1.174,1.60804,0.2478,0.2698,0.4824
2,2024-10-19 14:00:00,EPL,89,Manchester United,MUN,244,Brentford,BRE,2,1,1.76555,0.892843,0.5945,0.2395,0.166
2,2024-10-19 14:00:00,EPL,86,Newcastle United,NEW,220,Brighton,BRI,0,1,1.93657,1.6779,0.4377,0.2411,0.3212
2,2024-10-19 14:00:00,EPL,74,Southampton,SOU,75,Leicester,LEI,2,3,2.42776,2.83826,0.2806,0.241,0.4784
2,2024-10-19 16:30:00,EPL,73,Bournemouth,BOU,83,Arsenal,ARS,2,0,2.18419,0.740758,0.762,0.1786,0.0594
2,2024-10-20 13:00:00,EPL,229,Wolverhampton Wanderers,WOL,88,Manchester City,MCI,1,2,0.761217,1.36569,0.2016,0.2881,0.5103
2,2024-10-20 15:30:00,EPL,87,Liverpool,LIV,80,Chelsea,CHE,2,1,2.22517,1.33904,0.6225,0.2262,0.1513
2,2024-10-21 19:00:00,EPL,249,Nottingham Forest,NOT,78,Crystal Palace,CRY,1,0,1.88573,0.835001,0.6418,0.2131,0.1451
2,2024-10-25 19:00:00,EPL,75,Leicester,LEI,249,Nottingham Forest,NOT,1,3,0.832415,2.54488,0.0468,0.1406,0.8126
2,2024-10-26 14:00:00,EPL,88,Manchester City,MCI,74,Southampton,SOU,1,0,3.16286,0.369989,0.9467,0.0452,0.0081
2,2024-10-26 14:00:00,EPL,71,Aston Villa,AVL,73,Bournemouth,BOU,1,1,1.974,0.328651,0.8162,0.1422,0.0416
2,2024-10-26 14:00:00,EPL,244,Brentford,BRE,285,Ipswich,IPS,4,3,4.09663,1.65698,0.8503,0.0898,0.0599
2,2024-10-26 14:00:00,EPL,220,Brighton,BRI,229,Wolverhampton Wanderers,WOL,2,2,1.51347,1.11074,0.4662,0.2703,0.2635
2,2024-10-26 16:30:00,EPL,72,Everton,EVE,228,Fulham,FLH,1,1,0.884845,1.49531,0.1867,0.2839,0.5294
2,2024-10-27 14:00:00,EPL,80,Chelsea,CHE,86,Newcastle United,NEW,2,1,1.61794,1.74225,0.317,0.2757,0.4073
2,2024-10-27 14:00:00,EPL,78,Crystal Palace,CRY,82,Tottenham,TOT,1,0,0.978611,1.0192,0.3194,0.3264,0.3542
